date,count,uniques
2026-09-04,141,19
2026-09-05,5,2
2026-09-06,0,0
2026-09-07,4,3
2026-09-08,14,2
2026-09-09,4,2
2026-09-10,7,2
2026-09-11,0,0
2026-09-12,0,0
2026-09-13,0,0
2026-09-14,0,0
2026-09-15,1,1
2026-09-16,0,0
2026-09-17,1,1
2026-09-18,27,4
2026-09-19,5,3
2026-09-20,1,1
2026-09-21,11,4
