-0.054000	0	17.02619	5.30987
-0.039176	0	36.54033	7.75471
-0.024353	0	89.63380	10.23945
-0.009529	0	69.26721	13.44522
0.005294	0	78.30222	11.26844
0.020118	0	56.62975	11.81433
0.049765	0	51.04929	9.86559
0.064588	0	69.67924	11.97107
0.079412	0	95.58794	13.95456
0.094235	0	78.07651	12.25380
0.123882	0	29.38554	9.88792
0.138706	0	47.75207	9.34123
0.153529	0	74.79974	11.47433
0.168353	0	124.19190	15.02921
0.183176	0	143.37000	16.39167
0.198000	0	113.53470	15.00947
0.212824	0	73.29141	11.76018
0.227647	0	70.35027	14.81247
0.242471	0	82.91434	13.11440
0.257294	0	75.58429	12.33013
0.272118	0	40.34531	8.79579
0.286941	0	32.13028	8.29600
0.301765	0	17.84674	5.94891
